Date,Yearly Sunspot Number
1700/06,8.3
1701/06,18.3
1702/06,26.7
1703/06,38.3
1704/06,60
1705/06,96.7
1706/06,48.3
1707/06,33.3
1708/06,16.7
1709/06,13.3
1710/06,5
1711/06,0
1712/06,0
1713/06,3.3
1714/06,18.3
1715/06,45
1716/06,78.3
1717/06,105
1718/06,100
1719/06,65
1720/06,46.7
1721/06,43.3
1722/06,36.7
1723/06,18.3
1724/06,35
1725/06,66.7
1726/06,130
1727/06,203.3
1728/06,171.7
1729/06,121.7
1730/06,78.3
1731/06,58.3
1732/06,18.3
1733/06,8.3
1734/06,26.7
1735/06,56.7
1736/06,116.7
1737/06,135
1738/06,185
1739/06,168.3
1740/06,121.7
1741/06,66.7
1742/06,33.3
1743/06,26.7
1744/06,8.3
1745/06,18.3
1746/06,36.7
1747/06,66.7
1748/06,100
1749/06,134.8
1750/06,139
1751/06,79.5
1752/06,79.7
1753/06,51.2
1754/06,20.3
1755/06,16
1756/06,17
1757/06,54
1758/06,79.3
1759/06,90
1760/06,104.8
1761/06,143.2
1762/06,102
1763/06,75.2
1764/06,60.7
1765/06,34.8
1766/06,19
1767/06,63
1768/06,116.3
1769/06,176.8
1770/06,168
1771/06,136
1772/06,110.8
1773/06,58
1774/06,51
1775/06,11.7
1776/06,33
1777/06,154.2
1778/06,257.3
1779/06,209.8
1780/06,141.3
1781/06,113.5
1782/06,64.2
1783/06,38
1784/06,17
1785/06,40.2
1786/06,138.2
1787/06,220
1788/06,218.2
1789/06,196.8
1790/06,149.8
1791/06,111
1792/06,100
1793/06,78.2
1794/06,68.3
1795/06,35.5
1796/06,26.7
1797/06,10.7
1798/06,6.8
1799/06,11.3
1800/06,24.2
1801/06,56.7
1802/06,75
1803/06,71.8
1804/06,79.2
1805/06,70.3
1806/06,46.8
1807/06,16.8
1808/06,13.5
1809/06,4.2
1810/06,0
1811/06,2.3
1812/06,8.3
1813/06,20.3
1814/06,23.2
1815/06,59
1816/06,76.3
1817/06,68.3
1818/06,52.9
1819/06,38.5
1820/06,24.2
1821/06,9.2
1822/06,6.3
1823/06,2.2
1824/06,11.4
1825/06,28.2
1826/06,59.9
1827/06,83
1828/06,108.5
1829/06,115.2
1830/06,117.4
1831/06,80.8
1832/06,44.3
1833/06,13.4
1834/06,19.5
1835/06,85.8
1836/06,192.7
1837/06,227.3
1838/06,168.7
1839/06,143
1840/06,105.5
1841/06,63.3
1842/06,40.3
1843/06,18.1
1844/06,25.1
1845/06,65.8
1846/06,102.7
1847/06,166.3
1848/06,208.3
1849/06,182.5
1850/06,126.3
1851/06,122
1852/06,102.7
1853/06,74.1
1854/06,39
1855/06,12.7
1856/06,8.2
1857/06,43.4
1858/06,104.4
1859/06,178.3
1860/06,182.2
1861/06,146.6
1862/06,112.1
1863/06,83.5
1864/06,89.2
1865/06,57.8
1866/06,30.7
1867/06,13.9
1868/06,62.8
1869/06,123.6
1870/06,232
1871/06,185.3
1872/06,169.2
1873/06,110.1
1874/06,74.5
1875/06,28.3
1876/06,18.9
1877/06,20.7
1878/06,5.7
1879/06,10
1880/06,53.7
1881/06,90.5
1882/06,99
1883/06,106.1
1884/06,105.8
1885/06,86.3
1886/06,42.4
1887/06,21.8
1888/06,11.2
1889/06,10.4
1890/06,11.8
1891/06,59.5
1892/06,121.7
1893/06,142
1894/06,130
1895/06,106.6
1896/06,69.4
1897/06,43.8
1898/06,44.4
1899/06,20.2
1900/06,15.7
1901/06,4.6
1902/06,8.5
1903/06,40.8
1904/06,70.1
1905/06,105.5
1906/06,90.1
1907/06,102.8
1908/06,80.9
1909/06,73.2
1910/06,30.9
1911/06,9.5
1912/06,6
1913/06,2.4
1914/06,16.1
1915/06,79
1916/06,95
1917/06,173.6
1918/06,134.6
1919/06,105.7
1920/06,62.7
1921/06,43.5
1922/06,23.7
1923/06,9.7
1924/06,27.9
1925/06,74
1926/06,106.5
1927/06,114.7
1928/06,129.7
1929/06,108.2
1930/06,59.4
1931/06,35.1
1932/06,18.6
1933/06,9.2
1934/06,14.6
1935/06,60.2
1936/06,132.8
1937/06,190.6
1938/06,182.6
1939/06,148
1940/06,113
1941/06,79.2
1942/06,50.8
1943/06,27.1
1944/06,16.1
1945/06,55.3
1946/06,154.3
1947/06,214.7
1948/06,193
1949/06,190.7
1950/06,118.9
1951/06,98.3
1952/06,45
1953/06,20.1
1954/06,6.6
1955/06,54.2
1956/06,200.7
1957/06,269.3
1958/06,261.7
1959/06,225.1
1960/06,159
1961/06,76.4
1962/06,53.4
1963/06,39.9
1964/06,15
1965/06,22
1966/06,66.8
1967/06,132.9
1968/06,150
1969/06,149.4
1970/06,148
1971/06,94.4
1972/06,97.6
1973/06,54.1
1974/06,49.2
1975/06,22.5
1976/06,18.4
1977/06,39.3
1978/06,131
1979/06,220.1
1980/06,218.9
1981/06,198.9
1982/06,162.4
1983/06,91
1984/06,60.5
1985/06,20.6
1986/06,14.8
1987/06,33.9
1988/06,123
1989/06,211.1
1990/06,191.8
1991/06,203.3
1992/06,133
1993/06,76.1
1994/06,44.9
1995/06,25.1
1996/06,11.6
1997/06,28.9
1998/06,88.3
1999/06,136.3
2000/06,173.9
2001/06,170.4
2002/06,163.6
2003/06,99.3
2004/06,65.3
2005/06,45.8
2006/06,24.7
2007/06,12.6
2008/06,4.2
2009/06,4.8
2010/06,24.9
2011/06,80.8
2012/06,84.5
2013/06,94
2014/06,113.3
2015/06,69.8
2016/06,39.8
2017/06,21.7
2018/06,7
2019/06,3.6
2020/06,8.8
2021/06,29.6
